Airline,AirportFrom,AirportTo,total_flights,delayed_flights,delay_rate
9E,ABE,DTW,85,40,0.47058823529411764
9E,ABR,MSP,2,1,0.5
9E,ALB,ATL,41,9,0.21951219512195122
9E,ALB,DTW,90,39,0.43333333333333335
9E,ALB,JFK,31,3,0.0967741935483871
9E,AMA,MEM,57,16,0.2807017543859649
9E,ATL,ALB,40,19,0.475
9E,ATL,BHM,4,2,0.5
9E,ATL,BNA,17,7,0.4117647058823529
9E,ATL,CHS,9,4,0.4444444444444444
9E,ATL,CLE,17,7,0.4117647058823529
9E,ATL,CLT,33,16,0.48484848484848486
9E,ATL,DAB,12,7,0.5833333333333334
9E,ATL,DAY,29,14,0.4827586206896552
9E,ATL,DSM,17,7,0.4117647058823529
9E,ATL,ECP,2,1,0.5
9E,ATL,EWR,3,0,0.0
9E,ATL,FWA,60,33,0.55
9E,ATL,GSO,3,2,0.6666666666666666
9E,ATL,GSP,97,33,0.3402061855670103
9E,ATL,HOU,91,41,0.45054945054945056
9E,ATL,HPN,58,20,0.3448275862068966
9E,ATL,HSV,27,9,0.3333333333333333
9E,ATL,IAD,31,12,0.3870967741935484
9E,ATL,IAH,68,33,0.4852941176470588
9E,ATL,ICT,34,13,0.38235294117647056
9E,ATL,IND,3,1,0.3333333333333333
9E,ATL,LEX,1,0,0.0
9E,ATL,LIT,14,4,0.2857142857142857
9E,ATL,MEM,52,35,0.6730769230769231
9E,ATL,MKE,2,0,0.0
9E,ATL,MSY,2,0,0.0
9E,ATL,OKC,67,29,0.43283582089552236
9E,ATL,ORD,18,10,0.5555555555555556
9E,ATL,PHF,46,23,0.5
9E,ATL,PNS,14,5,0.35714285714285715
9E,ATL,ROC,88,29,0.32954545454545453
9E,ATL,SAV,29,19,0.6551724137931034
9E,ATL,SBN,41,10,0.24390243902439024
9E,ATL,SDF,22,10,0.45454545454545453
9E,ATL,SGF,29,15,0.5172413793103449
9E,ATL,STL,4,2,0.5
9E,ATL,SYR,15,10,0.6666666666666666
9E,ATL,TLH,31,18,0.5806451612903226
9E,ATL,TUL,18,8,0.4444444444444444
9E,ATL,TYS,45,20,0.4444444444444444
9E,ATW,DTW,42,13,0.30952380952380953
9E,ATW,MSP,32,9,0.28125
9E,AUS,MEM,47,22,0.46808510638297873
9E,AVP,DTW,85,39,0.4588235294117647
9E,AZO,DTW,73,30,0.410958904109589
9E,AZO,MSP,31,5,0.16129032258064516
9E,BDL,CVG,37,13,0.35135135135135137
9E,BDL,DCA,13,1,0.07692307692307693
9E,BDL,DTW,26,12,0.46153846153846156
9E,BDL,JFK,31,13,0.41935483870967744
9E,BDL,RDU,37,16,0.43243243243243246
9E,BGM,DTW,74,33,0.44594594594594594
9E,BGR,DTW,31,15,0.4838709677419355
9E,BGR,LGA,1,1,1.0
9E,BHM,ATL,4,2,0.5
9E,BHM,DTW,87,20,0.22988505747126436
9E,BHM,MEM,73,21,0.2876712328767123
9E,BIS,MSP,44,18,0.4090909090909091
9E,BMI,DTW,31,12,0.3870967741935484
9E,BMI,MSP,31,13,0.41935483870967744
9E,BNA,ATL,17,5,0.29411764705882354
9E,BNA,CVG,13,7,0.5384615384615384
9E,BNA,DTW,66,27,0.4090909090909091
9E,BNA,MEM,28,8,0.2857142857142857
9E,BNA,MSP,51,21,0.4117647058823529
9E,BOS,DCA,3,1,0.3333333333333333
9E,BOS,JFK,28,13,0.4642857142857143
9E,BOS,RDU,36,13,0.3611111111111111
9E,BTV,DTW,73,42,0.5753424657534246
9E,BTV,JFK,45,16,0.35555555555555557
9E,BUF,DTW,139,65,0.4676258992805755
9E,BUF,JFK,38,18,0.47368421052631576
9E,BUF,MSP,14,5,0.35714285714285715
9E,CAE,DTW,14,9,0.6428571428571429
9E,CAK,DTW,37,18,0.4864864864864865
9E,CHS,ATL,9,5,0.5555555555555556
9E,CHS,DTW,18,10,0.5555555555555556
9E,CHS,LGA,16,5,0.3125
9E,CID,DTW,47,8,0.1702127659574468
9E,CID,MSP,29,10,0.3448275862068966
9E,CLE,ATL,18,3,0.16666666666666666
9E,CLE,CVG,1,1,1.0
9E,CLE,DTW,46,13,0.2826086956521739
9E,CLE,JFK,44,15,0.3409090909090909
9E,CLE,MEM,58,17,0.29310344827586204
9E,CLE,MSP,43,14,0.32558139534883723
9E,CLT,ATL,33,7,0.21212121212121213
9E,CLT,CVG,17,8,0.47058823529411764
9E,CLT,JFK,11,5,0.45454545454545453
9E,CLT,MEM,15,7,0.4666666666666667
9E,CMH,CVG,30,14,0.4666666666666667
9E,CMH,DCA,1,0,0.0
9E,CMH,DTW,50,26,0.52
9E,CMH,JFK,32,17,0.53125
9E,CMH,MEM,44,13,0.29545454545454547
9E,CMH,MSP,26,5,0.19230769230769232
9E,CMH,RDU,16,4,0.25
9E,COU,MEM,89,28,0.3146067415730337
9E,CRW,DTW,24,12,0.5
9E,CVG,BDL,26,4,0.15384615384615385
9E,CVG,BNA,29,7,0.2413793103448276
9E,CVG,CLE,1,0,0.0
9E,CVG,CLT,3,1,0.3333333333333333
9E,CVG,DCA,17,8,0.47058823529411764
9E,CVG,DTW,31,10,0.3225806451612903
