AirportFrom,AirportTo,total_flights,delayed_flights,delay_rate
ABE,ATL,31,7,0.22580645161290322
ABE,CLT,31,2,0.06451612903225806
ABE,DTW,85,40,0.47058823529411764
ABE,FLL,17,4,0.23529411764705882
ABE,MCO,31,9,0.2903225806451613
ABE,ORD,147,48,0.32653061224489793
ABI,DFW,211,32,0.15165876777251186
ABQ,ATL,75,22,0.29333333333333333
ABQ,BWI,39,24,0.6153846153846154
ABQ,DAL,233,153,0.6566523605150214
ABQ,DEN,224,115,0.5133928571428571
ABQ,DFW,243,29,0.11934156378600823
ABQ,ELP,55,33,0.6
ABQ,HOU,86,62,0.7209302325581395
ABQ,IAD,31,7,0.22580645161290322
ABQ,IAH,179,49,0.2737430167597765
ABQ,LAS,156,101,0.6474358974358975
ABQ,LAX,200,106,0.53
ABQ,LBB,31,23,0.7419354838709677
ABQ,MAF,31,17,0.5483870967741935
ABQ,MCI,38,31,0.8157894736842105
ABQ,MCO,32,25,0.78125
ABQ,MDW,62,31,0.5
ABQ,MSP,44,23,0.5227272727272727
ABQ,OAK,87,59,0.6781609195402298
ABQ,ORD,62,25,0.4032258064516129
ABQ,PDX,31,24,0.7741935483870968
ABQ,PHX,414,170,0.4106280193236715
ABQ,SAN,59,49,0.8305084745762712
ABQ,SEA,61,47,0.7704918032786885
ABQ,SFO,31,3,0.0967741935483871
ABQ,SLC,202,86,0.42574257425742573
ABQ,STL,31,19,0.6129032258064516
ABQ,TUS,62,42,0.6774193548387096
ABR,MSP,2,1,0.5
ABY,ATL,87,22,0.25287356321839083
ACT,DFW,60,17,0.2833333333333333
ACV,CEC,28,12,0.42857142857142855
ACV,SFO,213,127,0.596244131455399
ACV,SMF,55,18,0.32727272727272727
ACY,ATL,62,16,0.25806451612903225
ADK,ANC,9,5,0.5555555555555556
ADQ,ANC,56,18,0.32142857142857145
AEX,ATL,133,38,0.2857142857142857
AEX,DFW,92,21,0.22826086956521738
AEX,IAH,61,17,0.2786885245901639
AGS,ATL,261,96,0.367816091954023
AGS,DFW,61,20,0.32786885245901637
ALB,ATL,88,33,0.375
ALB,BWI,146,84,0.5753424657534246
ALB,CLE,103,35,0.33980582524271846
ALB,CLT,60,21,0.35
ALB,DTW,114,47,0.41228070175438597
ALB,FLL,31,9,0.2903225806451613
ALB,IAD,88,26,0.29545454545454547
ALB,JFK,31,3,0.0967741935483871
ALB,LAS,31,24,0.7741935483870968
ALB,MCO,75,37,0.49333333333333335
ALB,MDW,62,31,0.5
ALB,ORD,91,36,0.3956043956043956
ALB,TPA,31,14,0.45161290322580644
AMA,DAL,156,87,0.5576923076923077
AMA,DEN,56,42,0.75
AMA,DFW,71,26,0.36619718309859156
AMA,IAH,111,35,0.3153153153153153
AMA,LAS,31,27,0.8709677419354839
AMA,MEM,57,16,0.2807017543859649
ANC,ADK,9,0,0.0
ANC,ADQ,56,16,0.2857142857142857
ANC,BET,84,22,0.2619047619047619
ANC,CDV,28,14,0.5
ANC,FAI,237,61,0.25738396624472576
ANC,HNL,31,3,0.0967741935483871
ANC,JNU,89,31,0.34831460674157305
ANC,LAX,3,2,0.6666666666666666
ANC,MSP,32,8,0.25
ANC,OGG,13,2,0.15384615384615385
ANC,OME,30,20,0.6666666666666666
ANC,ORD,31,10,0.3225806451612903
ANC,OTZ,60,28,0.4666666666666667
ANC,PDX,55,19,0.34545454545454546
ANC,PHX,46,17,0.3695652173913043
ANC,SCC,26,3,0.11538461538461539
ANC,SEA,447,154,0.34451901565995524
ANC,SLC,30,5,0.16666666666666666
ASE,DEN,301,93,0.3089700996677741
ASE,IAH,4,3,0.75
ASE,LAX,59,31,0.5254237288135594
ASE,ORD,63,34,0.5396825396825397
ASE,SFO,31,17,0.5483870967741935
ATL,ABE,31,17,0.5483870967741935
ATL,ABQ,74,38,0.5135135135135135
ATL,ABY,87,27,0.3103448275862069
ATL,ACY,62,22,0.3548387096774194
ATL,AEX,132,50,0.3787878787878788
ATL,AGS,261,110,0.421455938697318
ATL,ALB,88,42,0.4772727272727273
ATL,ATW,31,16,0.5161290322580645
ATL,AUS,178,75,0.42134831460674155
ATL,AVL,261,88,0.3371647509578544
ATL,BDL,179,66,0.3687150837988827
ATL,BHM,381,181,0.47506561679790027
ATL,BKG,54,11,0.2037037037037037
ATL,BMI,233,112,0.48068669527896996
ATL,BNA,278,124,0.4460431654676259
ATL,BOS,450,189,0.42
ATL,BQK,87,28,0.3218390804597701
ATL,BTR,223,98,0.43946188340807174
ATL,BUF,243,72,0.2962962962962963
ATL,BWI,530,185,0.3490566037735849
ATL,BZN,13,5,0.38461538461538464
ATL,CAE,296,113,0.38175675675675674
ATL,CAK,298,116,0.38926174496644295
ATL,CHA,243,75,0.30864197530864196
ATL,CHO,87,32,0.367816091954023
ATL,CHS,302,124,0.4105960264900662
ATL,CLE,253,117,0.4624505928853755
ATL,CLT,640,219,0.3421875
ATL,CMH,289,113,0.39100346020761245
ATL,COS,31,22,0.7096774193548387
ATL,CRW,123,46,0.37398373983739835
ATL,CSG,118,35,0.2966101694915254
ATL,CVG,232,112,0.4827586206896552
ATL,DAB,122,67,0.5491803278688525
ATL,DAY,273,89,0.326007326007326
ATL,DCA,645,248,0.38449612403100775
ATL,DEN,432,235,0.5439814814814815
ATL,DFW,818,287,0.3508557457212714
ATL,DHN,118,36,0.3050847457627119
ATL,DSM,89,47,0.5280898876404494
ATL,DTW,435,220,0.5057471264367817
ATL,ECP,241,81,0.3360995850622407
ATL,EGE,14,4,0.2857142857142857
ATL,ELP,87,47,0.5402298850574713
ATL,EVV,88,28,0.3181818181818182
ATL,EWN,74,19,0.25675675675675674
ATL,EWR,511,240,0.46966731898238745
ATL,EYW,95,45,0.47368421052631576
ATL,FAY,246,98,0.3983739837398374
ATL,FLL,663,339,0.5113122171945701
ATL,FLO,18,9,0.5
ATL,FNT,212,99,0.4669811320754717
ATL,FWA,60,33,0.55
ATL,GNV,194,73,0.37628865979381443
ATL,GPT,166,63,0.3795180722891566
ATL,GRK,61,32,0.5245901639344263
ATL,GRR,48,39,0.8125
ATL,GSO,299,93,0.3110367892976589
ATL,GSP,285,117,0.4105263157894737
ATL,GTR,30,7,0.23333333333333334
ATL,HDN,14,7,0.5
ATL,HNL,31,15,0.4838709677419355
ATL,HOU,358,149,0.41620111731843573
ATL,HPN,242,107,0.44214876033057854
ATL,HSV,280,100,0.35714285714285715
ATL,IAD,424,155,0.36556603773584906
ATL,IAH,462,195,0.42207792207792205
ATL,ICT,240,91,0.37916666666666665
ATL,ILM,165,72,0.43636363636363634
ATL,IND,340,153,0.45
ATL,JAC,13,7,0.5384615384615384
ATL,JAN,248,101,0.40725806451612906
ATL,JAX,482,221,0.45850622406639
ATL,JFK,202,98,0.48514851485148514
ATL,LAS,332,160,0.4819277108433735
ATL,LAX,441,252,0.5714285714285714
ATL,LEX,237,85,0.35864978902953587
ATL,LFT,87,34,0.39080459770114945
ATL,LGA,915,423,0.46229508196721314
ATL,LIT,223,96,0.4304932735426009
ATL,LWB,31,10,0.3225806451612903
ATL,LYH,59,24,0.4067796610169492
ATL,MCI,324,111,0.3425925925925926
ATL,MCO,778,382,0.4910025706940874
ATL,MDT,119,50,0.42016806722689076
ATL,MDW,398,167,0.41959798994974873
ATL,MEI,58,22,0.3793103448275862
ATL,MEM,413,195,0.4721549636803874
ATL,MGM,229,85,0.37117903930131
ATL,MHT,31,13,0.41935483870967744
ATL,MIA,522,211,0.4042145593869732
ATL,MKE,336,147,0.4375
ATL,MLB,138,55,0.39855072463768115
ATL,MLI,131,74,0.5648854961832062
ATL,MLU,82,37,0.45121951219512196
ATL,MOB,246,95,0.3861788617886179
ATL,MSN,31,13,0.41935483870967744
ATL,MSP,462,232,0.5021645021645021
ATL,MSY,450,171,0.38
ATL,MTJ,13,5,0.38461538461538464
ATL,MYR,148,51,0.34459459459459457
ATL,OAJ,135,60,0.4444444444444444
ATL,OKC,176,74,0.42045454545454547
ATL,OMA,146,78,0.5342465753424658
ATL,ONT,24,20,0.8333333333333334
ATL,ORD,647,294,0.45440494590417313
ATL,ORF,198,85,0.4292929292929293
ATL,PBI,390,185,0.47435897435897434
ATL,PDX,86,46,0.5348837209302325
ATL,PHF,318,136,0.4276729559748428
ATL,PHL,579,204,0.35233160621761656
ATL,PHX,327,155,0.4740061162079511
ATL,PIT,376,140,0.3723404255319149
ATL,PNS,330,120,0.36363636363636365
ATL,PVD,88,38,0.4318181818181818
ATL,PWM,44,9,0.20454545454545456
ATL,RDU,439,183,0.4168564920273349
ATL,RIC,341,130,0.3812316715542522
ATL,ROA,118,44,0.3728813559322034
ATL,ROC,214,75,0.35046728971962615
ATL,RSW,351,136,0.38746438746438744
ATL,SAN,153,76,0.49673202614379086
ATL,SAT,328,129,0.3932926829268293
ATL,SAV,321,149,0.46417445482866043
ATL,SBN,57,18,0.3157894736842105
ATL,SDF,195,89,0.4564102564102564
ATL,SEA,197,100,0.5076142131979695
ATL,SFO,243,163,0.6707818930041153
ATL,SGF,88,32,0.36363636363636365
ATL,SHV,147,59,0.4013605442176871
ATL,SJC,27,19,0.7037037037037037
ATL,SJU,184,74,0.40217391304347827
ATL,SLC,248,163,0.657258064516129
ATL,SMF,51,24,0.47058823529411764
ATL,SNA,140,46,0.32857142857142857
ATL,SRQ,246,92,0.37398373983739835
ATL,STL,343,130,0.37900874635568516
ATL,STT,34,19,0.5588235294117647
ATL,STX,4,3,0.75
ATL,SWF,31,19,0.6129032258064516
ATL,SYR,119,67,0.5630252100840336
ATL,TLH,262,110,0.4198473282442748
ATL,TPA,610,271,0.44426229508196724
ATL,TRI,220,80,0.36363636363636365
ATL,TUL,147,75,0.5102040816326531
ATL,TUS,57,40,0.7017543859649122
ATL,TYS,276,90,0.32608695652173914
ATL,UTM,18,4,0.2222222222222222
ATL,VLD,87,29,0.3333333333333333
ATL,VPS,299,119,0.3979933110367893
ATL,XNA,143,54,0.3776223776223776
ATW,ATL,31,16,0.5161290322580645
ATW,DEN,27,12,0.4444444444444444
ATW,DTW,137,31,0.22627737226277372
ATW,MSP,32,9,0.28125
ATW,ORD,151,43,0.2847682119205298
AUS,ATL,178,52,0.29213483146067415
AUS,BNA,56,39,0.6964285714285714
AUS,BOS,31,17,0.5483870967741935
AUS,BWI,70,57,0.8142857142857143
AUS,CLT,89,20,0.2247191011235955
AUS,DAL,327,195,0.5963302752293578
AUS,DEN,200,89,0.445
AUS,DFW,451,92,0.2039911308203991
AUS,DTW,33,5,0.15151515151515152
AUS,ELP,93,57,0.6129032258064516
AUS,EWR,75,32,0.4266666666666667
AUS,FLL,62,35,0.5645161290322581
AUS,HOU,141,87,0.6170212765957447
AUS,HRL,31,9,0.2903225806451613
AUS,IAD,31,3,0.0967741935483871
AUS,IAH,312,100,0.32051282051282054
AUS,JFK,119,39,0.3277310924369748
AUS,LAS,92,62,0.6739130434782609
AUS,LAX,144,65,0.4513888888888889
AUS,LBB,56,34,0.6071428571428571
AUS,LGB,31,18,0.5806451612903226
AUS,MCO,63,32,0.5079365079365079
AUS,MDW,59,41,0.6949152542372882
AUS,MEM,57,24,0.42105263157894735
AUS,MSP,25,11,0.44
AUS,OAK,31,28,0.9032258064516129
AUS,ORD,174,60,0.3448275862068966
AUS,PHX,235,100,0.425531914893617
AUS,SAN,62,37,0.5967741935483871
AUS,SEA,31,15,0.4838709677419355
AUS,SFO,91,37,0.4065934065934066
AUS,SJC,105,35,0.3333333333333333
AUS,SLC,68,33,0.4852941176470588
AUS,TPA,31,24,0.7741935483870968
AVL,ATL,260,107,0.4115384615384615
AVL,DTW,31,12,0.3870967741935484
AVL,EWR,31,7,0.22580645161290322
AVL,IAH,29,16,0.5517241379310345
AVL,MCO,13,7,0.5384615384615384
AVL,ORD,62,23,0.3709677419354839
AVP,DTW,85,39,0.4588235294117647
AVP,JFK,1,1,1.0
AVP,ORD,113,46,0.40707964601769914
AZO,DTW,121,35,0.2892561983471074
AZO,MSP,31,5,0.16129032258064516
AZO,ORD,91,22,0.24175824175824176
BDL,ATL,178,82,0.4606741573033708
BDL,BNA,31,12,0.3870967741935484
BDL,BWI,229,141,0.6157205240174672
BDL,CLT,141,58,0.41134751773049644
BDL,CVG,99,32,0.32323232323232326
BDL,DCA,115,29,0.25217391304347825
BDL,DEN,31,25,0.8064516129032258
BDL,DFW,92,42,0.45652173913043476
BDL,DTW,111,41,0.36936936936936937
BDL,EWR,25,5,0.2
BDL,FLL,138,62,0.4492753623188406
BDL,IAD,122,26,0.21311475409836064
BDL,JFK,31,13,0.41935483870967744
BDL,LAS,31,31,1.0
BDL,MCO,210,108,0.5142857142857142
BDL,MDW,95,60,0.631578947368421
BDL,MIA,62,20,0.3225806451612903
BDL,MSP,52,30,0.5769230769230769
BDL,ORD,271,80,0.2952029520295203
BDL,PBI,31,17,0.5483870967741935
BDL,PHL,31,7,0.22580645161290322
BDL,RDU,37,16,0.43243243243243246
BDL,RSW,14,8,0.5714285714285714
BDL,SJU,31,9,0.2903225806451613
BDL,TPA,72,39,0.5416666666666666
BET,ANC,84,46,0.5476190476190477
BFL,DEN,31,7,0.22580645161290322
BFL,LAX,58,26,0.4482758620689655
BFL,PHX,95,11,0.11578947368421053
BFL,SBP,1,1,1.0
BFL,SFO,91,49,0.5384615384615384
BGM,DTW,74,33,0.44594594594594594
BGR,DTW,31,15,0.4838709677419355
BGR,LGA,1,1,1.0
BHM,ATL,382,144,0.3769633507853403
BHM,BNA,60,45,0.75
BHM,BWI,87,59,0.6781609195402298
BHM,DAL,89,65,0.7303370786516854
BHM,DEN,47,16,0.3404255319148936
BHM,DFW,90,11,0.12222222222222222
BHM,DTW,87,20,0.22988505747126436
BHM,HOU,62,39,0.6290322580645161
BHM,IAH,195,61,0.3128205128205128
BHM,JAX,31,26,0.8387096774193549
BHM,LAS,31,26,0.8387096774193549
BHM,LGA,50,7,0.14
BHM,MCO,63,43,0.6825396825396826
BHM,MDW,61,39,0.639344262295082
BHM,MEM,74,22,0.2972972972972973
BHM,MIA,62,7,0.11290322580645161
BHM,MSY,56,44,0.7857142857142857
BHM,ORD,65,15,0.23076923076923078
BHM,PHX,31,19,0.6129032258064516
